TransactionID,Date,BranchID,CustomerID,ProductID,Quantity,UnitPrice,DiscountPercent,PaymentMethod,IsReturned
T00001,2023-01-18,B006,C0738,P056,1,5881.78,0,Transfer,0
T00002,2024-05-11,B004,C0167,P023,7,1904.97,0,Card,0
T00003,2023-04-13,B006,C0789,P019,4,1686.53,0,Cash,0
T00004,2023-11-05,B006,C1124,P056,8,5881.78,20,Cash,0
T00005,2023-09-07,B002,C0350,P049,2,3948.07,5,POS,0
T00006,2024-01-28,B003,C0452,P047,5,2033.85,0,Cash,0
T00007,2024-10-10,B006,C1008,P006,6,2976.68,0,Cash,0
T00008,2024-01-26,B006,C1151,P055,7,1536.44,0,POS,0
T00009,2023-04-25,B001,C0697,P048,4,3348.29,0,Cash,0
T00010,2023-11-17,B004,C1182,P048,1,3348.29,0,POS,0
T00011,2023-11-24,B003,C0259,P034,4,5572.52,5,Card,0
T00012,2023-10-31,B002,C1024,P044,8,5834.51,15,POS,0
T00013,2023-12-03,B005,C0656,P020,2,5897.54,0,Card,0
T00014,2023-10-26,B006,C0772,P004,6,1904.03,10,POS,0
T00015,2023-07-03,B004,C0803,P020,3,5897.54,0,Card,0
T00016,2024-12-18,B004,C0801,P005,5,5061.89,0,POS,0
T00017,2023-04-10,B002,C0663,P049,1,3948.07,0,Transfer,0
T00018,2023-05-21,B004,C0989,P019,3,1686.53,10,Cash,0
T00019,2023-04-15,B006,C0303,P025,7,3001.7,0,POS,0
T00020,2024-04-30,B002,C0108,P008,6,5982.04,0,POS,0
T00021,2023-02-04,B001,C0494,P026,8,3683.28,0,POS,0
T00022,2024-12-20,B006,C0184,P050,8,3573.74,0,Card,0
T00023,2024-01-12,B001,C0246,P008,2,5982.04,10,Cash,0
T00024,2024-05-06,B003,C0194,P051,3,1053.72,0,Card,0
T00025,2023-11-30,B001,C1101,P012,7,5665.44,0,Cash,0
T00026,2024-06-26,B004,C0131,P034,2,5572.52,0,POS,0
T00027,2023-07-05,B005,C0369,P001,8,3761.86,0,Cash,1
T00028,2024-10-30,B002,C0180,P036,5,4069.74,0,Cash,1
T00029,2023-11-02,B003,C1115,P011,7,6148.13,0,Cash,0
T00030,2024-06-15,B003,C1094,P029,3,1994.98,0,Transfer,0
T00031,2024-12-08,B005,C1046,P014,2,7065.75,0,Cash,0
T00032,2023-11-03,B002,C0275,P039,4,5318.82,0,Transfer,0
T00033,2023-03-18,B005,C0523,P017,7,3768.61,0,POS,0
T00034,2023-09-18,B006,C0872,P045,3,715.92,0,Cash,0
T00035,2024-10-10,B006,C0395,P046,6,3472.28,0,POS,0
T00036,2024-03-20,B004,C0054,P039,4,5318.82,5,Cash,0
T00037,2024-12-10,B001,C0744,P059,6,3124.65,0,POS,0
T00038,2023-01-11,B001,C0773,P015,7,2207.51,0,Cash,0
T00039,2023-11-10,B005,C1003,P007,6,4480.14,0,Transfer,0
T00040,2023-02-19,B002,C0652,P049,7,3948.07,20,Card,0
T00041,2024-12-02,B006,C0319,P043,3,3000.55,15,Cash,0
T00042,2024-01-15,B006,C0511,P044,7,5834.51,0,POS,0
T00043,2024-04-24,B005,C0588,P018,7,3043.9,0,POS,0
T00044,2023-11-09,B004,C0641,P055,2,1536.44,0,Cash,0
T00045,2023-06-19,B005,,P006,5,2976.68,0,Card,0
T00046,2024-03-10,B006,C1042,P060,3,1240.2,0,Cash,0
T00047,2023-01-08,B006,C0871,P045,6,715.92,0,Cash,0
T00048,2024-11-21,B005,C0461,P012,2,5665.44,0,POS,0
T00049,2024-03-08,B004,C0777,P011,6,6148.13,0,Transfer,0
T00050,2024-07-06,B001,C0595,P020,8,5897.54,0,POS,1
T00051,2024-02-08,B002,,P060,1,1240.2,0,Card,1
T00052,2024-04-16,B003,C0612,P023,2,1904.97,10,Card,0
T00053,2024-05-18,B002,C0174,P034,3,5572.52,0,Card,1
T00054,2023-09-14,B002,C0964,P026,6,3683.28,0,Card,0
T00055,2023-10-03,B001,C0899,P043,8,3000.55,15,Card,1
T00056,2023-12-13,B001,C0389,P019,1,1686.53,20,Transfer,0
T00057,2023-07-23,B004,C0545,P008,7,5982.04,0,Card,0
T00058,2023-11-29,B004,C1028,P047,7,2033.85,5,Cash,0
T00059,2023-01-14,B006,C0485,P004,6,1904.03,0,Cash,0
T00060,2024-05-12,B001,C0879,P016,3,2473.88,0,POS,0
T00061,2023-09-27,B006,C0507,P043,7,3000.55,5,POS,0
